scenario_id,response,relevance_score,specificity_score,actionability_score,reasoning_score,context_use_score,uncertainty_score,safety_score,conciseness_score,differentiation_score,language_score,pass_fail,critical_failure,reviewer_notes,suggested_improvement
ask-001,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-002,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-003,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-004,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-005,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-006,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-007,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-008,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-009,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-010,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-011,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-012,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-013,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-014,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-015,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-016,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-017,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-018,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-019,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-020,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-021,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-022,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-023,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-024,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-025,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-026,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-027,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-028,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-029,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-030,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-031,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-032,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-033,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-034,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-035,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-036,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-037,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-038,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-039,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-040,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-041,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-042,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-043,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-044,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-045,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-046,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-047,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-048,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-049,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-050,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-051,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-052,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-053,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-054,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-055,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-056,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-057,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-058,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-059,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
ask-060,Conversation request accepted under the P1 contract surface.,,,,,,,,,,,,,,
